10, 1000000, bubble sort, reversed, 0.001
10, 1000000, bubble sort, random, 0.001
10, 1000000, bubble sort, partially sorted 10%, 0.001
10, 1000000, bubble sort, partially sorted 30%, 0.001
10, 1000000, bubble sort, partially sorted 50%, 0.001
10, 1000000, bubble sort, partially sorted 70%, 0.001
10, 1000000, bubble sort, partially sorted 90%, 0.001
10, 1000000, quick sort, reversed, 0.001
10, 1000000, quick sort, random, 0.001
10, 1000000, quick sort, partially sorted 10%, 0.001
10, 1000000, quick sort, partially sorted 30%, 0.001
10, 1000000, quick sort, partially sorted 50%, 0.001
10, 1000000, quick sort, partially sorted 70%, 0.001
10, 1000000, quick sort, partially sorted 90%, 0.001
10, 1000000, insertion sort, reversed, 0.001
10, 1000000, insertion sort, random, 0.001
10, 1000000, insertion sort, partially sorted 10%, 0.001
10, 1000000, insertion sort, partially sorted 30%, 0.001
10, 1000000, insertion sort, partially sorted 50%, 0.001
10, 1000000, insertion sort, partially sorted 70%, 0.001
10, 1000000, insertion sort, partially sorted 90%, 0.001
10, 1000000, selection sort, reversed, 0.001
10, 1000000, selection sort, random, 0.001
10, 1000000, selection sort, partially sorted 10%, 0.001
10, 1000000, selection sort, partially sorted 30%, 0.001
10, 1000000, selection sort, partially sorted 50%, 0.001
10, 1000000, selection sort, partially sorted 70%, 0.001
10, 1000000, selection sort, partially sorted 90%, 0.001
10, 1000000, merge sort, reversed, 0.001
10, 1000000, merge sort, random, 0.001
10, 1000000, merge sort, partially sorted 10%, 0.001
10, 1000000, merge sort, partially sorted 30%, 0.001
10, 1000000, merge sort, partially sorted 50%, 0.001
10, 1000000, merge sort, partially sorted 70%, 0.001
10, 1000000, merge sort, partially sorted 90%, 0.001
10, 1000000, radix sort, reversed, 0.001
10, 1000000, radix sort, random, 0.001
10, 1000000, radix sort, partially sorted 10%, 0.001
10, 1000000, radix sort, partially sorted 30%, 0.001
10, 1000000, radix sort, partially sorted 50%, 0.001
10, 1000000, radix sort, partially sorted 70%, 0.001
10, 1000000, radix sort, partially sorted 90%, 0.001
50, 1000000, bubble sort, reversed, 0.010
50, 1000000, bubble sort, random, 0.013
50, 1000000, bubble sort, partially sorted 10%, 0.007
50, 1000000, bubble sort, partially sorted 30%, 0.004
50, 1000000, bubble sort, partially sorted 50%, 0.004
50, 1000000, bubble sort, partially sorted 70%, 0.004
50, 1000000, bubble sort, partially sorted 90%, 0.004
50, 1000000, quick sort, reversed, 0.010
50, 1000000, quick sort, random, 0.005
50, 1000000, quick sort, partially sorted 10%, 0.007
50, 1000000, quick sort, partially sorted 30%, 0.010
50, 1000000, quick sort, partially sorted 50%, 0.010
50, 1000000, quick sort, partially sorted 70%, 0.010
50, 1000000, quick sort, partially sorted 90%, 0.010
50, 1000000, insertion sort, reversed, 0.007
50, 1000000, insertion sort, random, 0.005
50, 1000000, insertion sort, partially sorted 10%, 0.002
50, 1000000, insertion sort, partially sorted 30%, 0.001
50, 1000000, insertion sort, partially sorted 50%, 0.001
50, 1000000, insertion sort, partially sorted 70%, 0.001
50, 1000000, insertion sort, partially sorted 90%, 0.001
50, 1000000, selection sort, reversed, 0.006
50, 1000000, selection sort, random, 0.009
50, 1000000, selection sort, partially sorted 10%, 0.007
50, 1000000, selection sort, partially sorted 30%, 0.007
50, 1000000, selection sort, partially sorted 50%, 0.007
50, 1000000, selection sort, partially sorted 70%, 0.007
50, 1000000, selection sort, partially sorted 90%, 0.007
50, 1000000, merge sort, reversed, 0.005
50, 1000000, merge sort, random, 0.007
50, 1000000, merge sort, partially sorted 10%, 0.005
50, 1000000, merge sort, partially sorted 30%, 0.005
50, 1000000, merge sort, partially sorted 50%, 0.005
50, 1000000, merge sort, partially sorted 70%, 0.005
50, 1000000, merge sort, partially sorted 90%, 0.005
50, 1000000, radix sort, reversed, 0.003
50, 1000000, radix sort, random, 0.003
